Waktu,Inflasi
01/01/2003,8.68
02/01/2003,7.6
03/01/2003,7.17
04/01/2003,7.62
05/01/2003,7.15
06/01/2003,6.98
07/01/2003,6.27
08/01/2003,6.51
09/01/2003,6.33
10/01/2003,6.48
11/01/2003,5.53
12/01/2003,5.16
01/01/2004,4.82
02/01/2004,4.6
03/01/2004,5.11
04/01/2004,5.92
05/01/2004,6.47
06/01/2004,6.83
07/01/2004,7.2
08/01/2004,6.67
09/01/2004,6.27
10/01/2004,6.22
11/01/2004,6.18
12/01/2004,6.4
01/01/2005,7.32
02/01/2005,7.15
03/01/2005,8.81
04/01/2005,8.12
05/01/2005,7.4
06/01/2005,7.42
07/01/2005,7.84
08/01/2005,8.33
09/01/2005,9.06
10/01/2005,17.89
11/01/2005,18.38
12/01/2005,17.11
01/01/2006,17.03
02/01/2006,17.92
03/01/2006,15.74
04/01/2006,15.4
05/01/2006,15.6
06/01/2006,15.53
07/01/2006,15.15
08/01/2006,14.9
09/01/2006,14.55
10/01/2006,6.29
11/01/2006,5.27
12/01/2006,6.6
01/01/2007,6.26
02/01/2007,6.3
03/01/2007,6.52
04/01/2007,6.29
05/01/2007,6.01
06/01/2007,5.77
07/01/2007,6.06
08/01/2007,6.51
09/01/2007,6.95
10/01/2007,6.88
11/01/2007,6.71
12/01/2007,6.59
01/01/2008,7.36
02/01/2008,7.4
03/01/2008,8.17
04/01/2008,8.96
05/01/2008,10.38
06/01/2008,11.03
07/01/2008,11.9
08/01/2008,11.85
09/01/2008,12.14
10/01/2008,11.77
11/01/2008,11.68
12/01/2008,11.06
01/01/2009,9.17
02/01/2009,8.6
03/01/2009,7.92
04/01/2009,7.31
05/01/2009,6.04
06/01/2009,3.65
07/01/2009,2.71
08/01/2009,2.75
09/01/2009,2.83
10/01/2009,2.57
11/01/2009,2.41
12/01/2009,2.78
01/01/2010,3.72
02/01/2010,3.81
03/01/2010,3.43
04/01/2010,3.91
05/01/2010,4.16
06/01/2010,5.05
07/01/2010,6.22
08/01/2010,6.44
09/01/2010,5.8
10/01/2010,5.67
11/01/2010,6.33
12/01/2010,6.96
01/01/2011,7.02
02/01/2011,6.84
03/01/2011,6.65
04/01/2011,6.16
05/01/2011,5.98
06/01/2011,5.54
07/01/2011,4.61
08/01/2011,4.79
09/01/2011,4.61
10/01/2011,4.42
11/01/2011,4.15
12/01/2011,3.79
01/01/2012,3.65
02/01/2012,3.56
03/01/2012,3.97
04/01/2012,4.5
05/01/2012,4.45
06/01/2012,4.53
07/01/2012,4.56
08/01/2012,4.58
09/01/2012,4.31
10/01/2012,4.61
11/01/2012,4.32
12/01/2012,4.3
01/01/2013,4.57
02/01/2013,5.31
03/01/2013,5.9
04/01/2013,5.57
05/01/2013,5.47
06/01/2013,5.9
07/01/2013,8.61
08/01/2013,8.79
09/01/2013,8.4
10/01/2013,8.32
11/01/2013,8.37
12/01/2013,8.38
01/01/2014,8.22
02/01/2014,7.75
03/01/2014,7.32
04/01/2014,7.25
05/01/2014,7.32
06/01/2014,6.7
07/01/2014,4.53
08/01/2014,3.99
09/01/2014,4.53
10/01/2014,4.83
11/01/2014,6.23
12/01/2014,8.36
01/01/2015,6.96
02/01/2015,6.29
03/01/2015,6.38
04/01/2015,6.79
05/01/2015,7.15
06/01/2015,7.26
07/01/2015,7.26
08/01/2015,7.18
09/01/2015,6.83
10/01/2015,6.25
11/01/2015,4.89
12/01/2015,3.35
01/01/2016,4.14
02/01/2016,4.42
03/01/2016,4.45
04/01/2016,3.6
05/01/2016,3.33
06/01/2016,3.45
07/01/2016,3.21
08/01/2016,2.79
09/01/2016,3.07
10/01/2016,3.31
11/01/2016,3.58
12/01/2016,3.02
01/01/2017,3.49
02/01/2017,3.83
03/01/2017,3.61
04/01/2017,4.17
05/01/2017,4.33
06/01/2017,4.37
07/01/2017,3.88
08/01/2017,3.82
09/01/2017,3.72
10/01/2017,3.58
11/01/2017,3.3
12/01/2017,3.61
01/01/2018,3.25
02/01/2018,3.18
03/01/2018,3.4
04/01/2018,3.41
05/01/2018,3.23
06/01/2018,3.12
07/01/2018,3.18
08/01/2018,3.2
09/01/2018,2.88
10/01/2018,3.16
11/01/2018,3.32
12/01/2018,3.13
01/01/2019,2.82
02/01/2019,2.57
03/01/2019,2.48
04/01/2019,2.83
05/01/2019,3.32
06/01/2019,3.28
07/01/2019,3.32
08/01/2019,3.49
09/01/2019,3.39
10/01/2019,3.13
11/01/2019,3
12/01/2019,2.72
01/01/2020,2.68
02/01/2020,2.98
03/01/2020,2.96
04/01/2020,2.67
05/01/2020,2.19
06/01/2020,1.96
07/01/2020,1.54
08/01/2020,1.32
09/01/2020,1.42
10/01/2020,1.44
11/01/2020,1.59
